page	duration_ms
test-browser-style-hook-contract.html	1344
test-browser-parity-style-hook-contract.html	1211
test-browser-parity-menu-typeahead-timeout-contract.html	1201
test-browser-menu-typeahead-timeout-contract.html	1196
test-browser-keyboard-contract.html	1108
test-browser-parity-keyboard-contract.html	930
test-browser-menu-roving-focus-contract.html	794
test-browser-parity-menu-roving-focus-contract.html	793
test-browser-dialog-actions-contract.html	744
test-browser-parity-dialog-actions-contract.html	733
test-browser-menu-close-reason-contract.html	692
test-browser-parity-menu-close-reason-contract.html	689
test-browser-parity-menu-typeahead-contract.html	636
test-browser-menu-typeahead-contract.html	629
test-browser-parity-tab-close-style-contract.html	625
test-browser-tab-close-style-contract.html	598
test-browser-dialog-close-reason-contract.html	587
test-browser-parity-dialog-close-reason-contract.html	586
test-browser-dropdown-contract.html	547
test-browser-parity-dropdown-contract.html	545
test-browser-popover-contract.html	539
test-browser-parity-popover-contract.html	531
test-browser-menu-icons-contract.html	431
test-browser-disabled-contract.html	423
test-browser-parity-disabled-contract.html	417
test-browser-dialog-contract.html	378
test-browser-parity-dialog-contract.html	377
test-browser-parity-menu-single-open-contract.html	361
test-browser-menu-single-open-contract.html	358
test-browser-parity-tab-aria-linkage-contract.html	338
test-browser-tab-aria-linkage-contract.html	330
test-browser-menu-aria-state-contract.html	330
test-browser-parity-menu-aria-state-contract.html	330
test-browser-a11y-contract.html	308
test-browser-button-group-contract.html	287
test-browser-parity-navigation-bar-contract.html	286
test-browser-navigation-bar-contract.html	285
test-browser-parity-button-group-contract.html	284
test-browser-choice-decode-contract.html	283
test-browser-parity-dropdown-focus-return-contract.html	282
test-browser-dropdown-focus-return-contract.html	281
test-browser-parity-progress-contract.html	281
test-browser-tab-aria-dynamic-contract.html	279
test-browser-badge-contract.html	276
test-browser-parity-choice-decode-contract.html	276
test-browser-progress-contract.html	275
test-browser-dropdown-labeled-contract.html	274
test-browser-parity-badge-contract.html	272
test-browser-toast-contract.html	270
test-browser-accordion-contract.html	269
test-browser-parity-toast-contract.html	269
test-browser-parity-accordion-contract.html	269
test-browser-theme-token-api-contract.html	265
test-browser-alert-contract.html	265
test-browser-parity-alert-contract.html	264
test-browser-parity-tab-aria-dynamic-contract.html	261
test-browser-choice-keyboard-deep.html	260
test-browser-parity-dialog-no-desc-contract.html	218
test-browser-parity-choice-keyboard-deep.html	216
test-browser-dialog-no-desc-contract.html	214
test-browser-button-icons-contract.html	177
test-browser-parity-spinner-contract.html	177
test-browser-parity-offcanvas-contract.html	175
test-browser-collapse-contract.html	174
test-browser-offcanvas-contract.html	174
test-browser-parity-collapse-contract.html	172
test-browser-list-group-contract.html	170
test-browser-toolbar-contract.html	169
test-browser-spinner-contract.html	169
test-browser-pagination-contract.html	169
test-browser-carousel-contract.html	168
test-browser-parity-breadcrumb-contract.html	168
test-browser-parity-pagination-contract.html	167
test-browser-parity-carousel-contract.html	167
test-browser-breadcrumb-contract.html	166
test-browser-parity-list-group-contract.html	166
test-browser-placeholder-contract.html	165
test-browser-choice-labeled-contract.html	164
test-browser-parity-a11y-contract.html	164
test-browser-parity-card-contract.html	162
test-browser-parity-placeholder-contract.html	161
test-browser-card-contract.html	160
test-browser-parity-focus-order.html	118
test-browser-focus-order.html	116
test-browser-close-button-contract.html	116
test-browser-parity-close-button-contract.html	116
test-browser-parity-table-align-contract.html	82
test-browser-parity-button-toolbar-contract.html	80
test-browser-button-toolbar-contract.html	79
test-browser-parity-dropdown-keyboard-deep.html	79
test-browser-link-contract.html	77
test-browser-card-variants-contract.html	77
test-browser-table-align-contract.html	76
test-browser-dropdown-keyboard-deep.html	72
test-browser-scrollspy-contract.html	70
test-browser-parity-scrollspy-contract.html	70
test-browser-divider-contract.html	67
test-browser-parity-scrollspy-keyboard-deep.html	53
test-browser-scrollspy-keyboard-deep.html	52
